Country,Year,Population,GDP (US$),gdp_cap,Renewable Capacity,Oil Capacity,RC/cap (Watt),Continent
Israel,2002,6570000,1.21148E+11,18439.64616,0,270,0,Asia
Italy,2002,57059007,1.27071E+12,22270.14412,1468,2485,25.72775232,Europe
Japan,2002,127445000,4.18285E+12,32820.79364,1447,4727.7795,11.35391738,Asia
Jordan,2002,5317514,9582453032,1802.055064,1.4,0,0.263280924,Asia
Kazakhstan,2002,14858948,24636593223,1658.030785,0,330,0,Asia
Kenya,2002,33751746,13147743911,389.5426302,58,0,1.718429618,Africa
South Korea,2002,23339453,0,0,18,0,0.771226301,Asia
Kuwait,2002,2136991,38137545245,17846.37616,0,936,0,Asia
Lithuania,2002,3443067,14259781159,4141.592702,0,240,0,Europe
Malaysia,2002,24208391,1.00846E+11,4165.726104,0,524,0,Asia
Mexico,2002,101684764,7.72106E+11,7593.137345,877,1463,8.624694256,NAM
Morocco,2002,29454765,42236836821,1433.955994,61.7,154,2.094737473,Africa
Netherlands,2002,16148929,4.71614E+11,29204.03983,698,1281.5,43.22268059,Europe
New Zealand,2002,3948500,66627729311,16874.18749,427,104,108.1423325,Oceania
Nicaragua,2002,5219324,5224213018,1000.936715,77.5,0,14.84866623,NAM
Nigeria,2002,128596079,95385819321,741.7474939,0,400,0,Africa
Norway,2002,4538159,1.95524E+11,43084.47247,97,316,21.37430619,Europe
Oman,2002,2334860,20142756047,8626.965234,0,85,0,Asia
Pakistan,2002,149549695,79904985385,534.3039007,0,226.5271233,0,Asia
Papua New Guinea,2002,6098621,2999511040,491.8343081,0,0,0,Oceania
Peru,2002,27100964,54777553515,2021.240038,0,198,0,SAM
Philippines,2002,81365260,84307291974,1036.158331,1846.5,398,22.69396054,Asia
Poland,2002,38230364,1.99072E+11,5207.171421,32,482,0.837031005,Europe
Portugal,2002,10419631,1.34156E+11,12875.32079,205,306,19.67440114,Europe
Qatar,2002,640872,19363736264,30214.67042,0,137,0,Asia
Romania,2002,21730496,46066101951,2119.882673,0,421,0,Europe
Russia,2002,145306497,3.4547E+11,2377.529577,77,5389,0.529914364,Asia
Saudi Arabia,2002,21805322,1.89606E+11,8695.396483,0,1809,0,Asia
Singapore,2002,4175950,92537752709,22159.68886,0,1393,0,Asia
Slovakia,2002,5376912,35130340674,6533.553213,0,122,0,Europe
South Africa,2002,46150913,1.29088E+11,2797.087291,3.2,505,0.06933774,Africa
Spain,2002,41431558,7.05394E+11,17025.53198,4908,1330,118.4604257,Europe
Sweden,2002,8924958,2.66849E+11,29899.19525,360,454,40.33632427,Europe
Switzerland,2002,7284753,3.10176E+11,42578.76314,20,132,2.745460278,Europe
Thailand,2002,64069093,1.34301E+11,2096.187802,0,1067.5,0,Asia
Trinidad and Tobago,2002,1277210,9008273721,7053.087371,0,165,0,NAM
Tunisia,2002,9871261,23142153760,2344.396907,10,0,1.013041799,Africa
Turkey,2002,65145357,2.40253E+11,3687.956093,37.6,713,0.577170834,Europe
Turkmenistan,2002,4610018,4461978499,967.8874353,0,251.0273973,0,Asia
Ukraine,2002,48202470,43956369917,911.9111514,46.2,859,0.958457108,Europe
United Arab Emirates,2002,3478769,1.09816E+11,31567.54631,0,711,0,Asia
